Jahr,Kanton,Anzahl Bahnhofbenutzer,Generalabonnement,Halbtaxabonnement
2019,BE,330300,209602,836766
2022,BE,275700,176788,891120
2018,BE,303300,208478,805307
2023,BE,280600,181069,933787
2016,VD,148700,55204,322047
2017,VD,148500,54852,341895
2018,VD,132500,55262,351149
2019,LU,166300,62087,361702
2020,LU,102700,55020,364427
2022,LU,133600,53344,398947
2014,SG,77000,49278,290554
2015,SG,78500,51115,291449
2023,SG,77800,51661,390261
2024,SG,77400,47897,414105
2014,SG,0,49278,290554
2023,SG,72900,51661,390261
2013,ZH,112000,134037,808896
2019,ZH,128200,145026,927802
2022,ZH,121400,121981,1018686
2024,ZH,134700,120436,1110621
2016,ZH,109200,135991,819697
2017,ZH,105900,137614,863740
2019,ZH,116200,145026,927802
2023,ZH,120100,126706,1064242
2024,ZH,123000,120436,1110621
2014,ZG,62000,24995,151840
2015,ZG,63600,25596,151072
2020,ZG,47700,26071,181337
2023,ZG,59800,26245,208011
2024,ZG,58900,24831,219511
2016,ZG,60500,27033,156669
2018,ZG,61300,29320,173522
2023,ZG,56300,26245,208011
2014,AG,0,67469,279065
2015,AG,70700,70149,275678
2020,AG,56600,74529,319370
2014,AG,0,67469,279065
2020,AG,50200,74529,319370
2020,AG,45700,74529,319370
2023,AG,58000,75882,368686
2017,AG,58100,77434,297051
2018,AG,56400,81018,303575
2024,AG,52200,72996,391354
2017,BE,67000,207170,789556
2014,GR,0,13325,86422
2016,GR,37400,13815,88315
2017,GR,37700,13820,92902
2019,GR,39300,13870,99802
2022,GR,36300,12381,106474
2014,GR,0,13325,86422
2017,GR,35800,13820,92902
2018,GR,35900,14080,95112
2020,GR,28000,12778,99310
2021,GR,29500,12000,101851
2022,GR,34600,12381,106474
2024,GR,38400,12020,119423
2013,FR,0,35795,150799
2013,FR,0,35795,150799
2015,FR,28200,38980,153883
2020,GE,19300,10072,149591
2021,GE,19700,10531,158090
2014,GE,0,11453,126376
2019,GE,46700,12325,149615
2021,GE,20400,10531,158090
2017,GE,166200,11935,137868
2013,GE,0,10920,126858
2014,GE,0,11453,126376
2015,GE,141700,11734,122811
2018,GE,160600,12125,141734
2020,GE,104300,10072,149591
2023,GE,163400,11985,183877
2013,NE,0,12439,67726
2014,NE,0,12847,67933
2017,NE,33000,14410,74460
2021,NE,25000,12631,79903
2020,NE,21900,13085,78046
2018,SO,76400,52713,176704
2023,SO,68800,48001,204691
2017,SO,65900,51548,172638
2024,SO,62900,46157,216905
2018,BE,48700,208478,805307
2021,BE,30700,171452,861455
2023,BE,40500,181069,933787
2020,ZH,0,126787,936077
2021,ZH,42700,117271,981018
2023,ZH,67100,126706,1064242
2013,ZH,0,134037,808896
2016,ZH,49200,135991,819697
2018,ZH,50700,142157,887154
2020,ZH,0,126787,936077
2015,ZH,20800,134166,801535
2016,ZH,23200,135991,819697
2018,ZH,24800,142157,887154
2019,ZH,25300,145026,927802
2015,ZH,18000,134166,801535
2016,ZH,20200,135991,819697
2018,ZH,21400,142157,887154
2022,ZH,19100,121981,1018686
2019,ZH,55100,145026,927802
2015,ZH,37000,134166,801535
2017,ZH,0,137614,863740
2019,ZH,47100,145026,927802
2022,ZH,38700,121981,1018686
2019,ZH,99500,145026,927802
2020,ZH,67900,126787,936077
2021,ZH,68100,117271,981018
2017,ZH,88000,137614,863740
2021,ZH,61000,117271,981018
2017,TI,13600,7095,82758
2022,TI,13600,8916,112062
2018,TI,25500,7560,88274
2022,TI,27200,8916,112062
2018,TI,23300,7560,88274
2023,TI,28100,9311,125292
2016,ZH,0,135991,819697
2022,ZH,104300,121981,1018686
2015,ZH,0,134166,801535
2020,ZH,22300,126787,936077
2023,ZH,27500,126706,1064242
2016,ZH,0,135991,819697
2019,ZH,26000,145026,927802
2015,GE,0,11734,122811
2018,GE,0,12125,141734
2016,GE,0,12030,128390
2019,GE,0,12325,149615
2022,GE,10100,11101,170035
2016,ZH,439000,135991,819697
2017,ZH,437700,137614,863740
2023,ZH,389600,126706,1064242
2016,BE,318000,204325,753175
2016,BE,0,204325,753175
2020,BE,227600,184258,837317
2017,BS,132900,13580,80304
2021,BE,228800,171452,861455
2017,BS,124200,13580,80304
2023,BE,296500,181069,933787
2018,BS,125800,13664,81777
2013,BE,0,193183,728216
2024,BS,135500,11092,99304
2015,BE,0,199251,731871
2019,VD,151500,56614,369542
2020,BE,211000,184258,837317
2022,VD,117300,51440,401323
2022,BE,261500,176788,891120
2024,VD,127900,52330,464632
2024,BE,281900,172150,985670
2021,VD,94700,47365,375618
2013,BS,134000,13350,77654
2022,VD,108300,51440,401323
2014,BS,135000,13506,76875
2018,LU,167200,61397,345613
2021,BS,95700,10701,87796
2019,LU,166900,62087,361702
2015,BS,126400,13421,75588
2022,LU,131700,53344,398947
2016,BS,126400,13528,76833
2013,LU,0,55328,311740
2019,BS,128400,13703,84306
2017,LU,161900,60300,336768
2014,VD,140000,52623,307758
2023,LU,145200,55803,421104
2018,VD,144700,55262,351149
2013,SG,0,46911,289862
2020,VD,96600,49631,366723
2017,SG,0,54352,316420
2017,VD,135600,54852,341895
2019,SG,76300,56816,340010
2024,VD,117900,52330,464632
2015,ZH,121000,134166,801535
2014,LU,157000,56859,314004
2016,ZH,121000,135991,819697
2015,LU,159400,57913,311831
2017,ZH,117200,137614,863740
2017,LU,163600,60300,336768
2018,ZH,121200,142157,887154
2016,LU,160900,59338,319525
2020,ZH,91700,126787,936077
2018,LU,166300,61397,345613
2013,ZH,0,134037,808896
2021,LU,102300,51025,381747
2015,ZH,111200,134166,801535
2024,LU,146600,52694,447670
2018,ZH,109900,142157,887154
2020,SG,49900,51089,339967
2016,ZG,66100,27033,156669
2021,ZH,95000,117271,981018
2019,ZG,63300,30281,182731
2021,ZG,46100,24060,187039
2016,AG,72400,73894,281284
2017,ZG,61000,27991,166431
2017,AG,72800,77434,297051
2022,ZG,52600,25264,197010
2018,AG,72100,81018,303575
2024,ZG,54900,24831,219511
2022,AG,68700,72544,347417
2013,AG,0,64779,280744
2013,AG,0,64779,280744
2023,AG,76500,75882,368686
2014,AG,0,67469,279065
2013,AG,0,64779,280744
2021,AG,44700,68874,334662
2021,AG,51900,68874,334662
2015,AG,57000,70149,275678
2022,AG,61700,72544,347417
2019,AG,55600,84368,316747
2023,AG,68200,75882,368686
2021,AG,41900,68874,334662
2024,AG,70400,72996,391354
2021,BE,54600,171452,861455
2017,AG,62800,77434,297051
2024,BE,65200,172150,985670
2018,AG,61300,81018,303575
2013,BE,0,193183,728216
2013,AG,0,64779,280744
2019,BE,64800,209602,836766
2022,AG,49600,72544,347417
2024,BE,61600,172150,985670
2015,BE,67900,199251,731871
2015,GR,37200,13574,85805
2018,BE,68600,208478,805307
2018,GR,37600,14080,95112
2022,BE,61500,176788,891120
2020,GR,29700,12778,99310
2023,BE,63600,181069,933787
2013,GR,0,12880,86745
2014,BE,0,197510,731348
2016,GR,35300,13815,88315
2018,BE,64100,208478,805307
2020,FR,23300,39620,187088
2020,BE,49700,184258,837317
2021,FR,25100,37286,194165
2022,BE,58700,176788,891120
2022,FR,29900,39669,208231
2023,BE,60300,181069,933787
2016,FR,28200,40554,160170
2023,GR,39500,12731,113111
2019,FR,29500,44383,186628
2015,GR,35300,13574,85805
2020,FR,21300,39620,187088
2015,FR,31000,38980,153883
2021,FR,23100,37286,194165
2016,FR,31100,40554,160170
2023,FR,30400,42058,227084
2018,FR,30600,42669,175843
2013,GE,0,10920,126858
2014,FR,0,37310,153244
2020,GE,19500,10072,149591
2017,FR,28000,41579,171943
2022,GE,36900,11101,170035
2017,GE,43800,11935,137868
2013,GE,0,10920,126858
2022,GE,35700,11101,170035
2014,GE,0,11453,126376
2015,GE,42200,11734,122811
2016,GE,163200,12030,128390
2023,GE,42400,11985,183877
2022,GE,156000,11101,170035
2019,GE,177100,12325,149615
2024,GE,173100,11091,199284
2016,GE,152400,12030,128390
2019,GE,166600,12325,149615
2022,GE,149300,11101,170035
2021,GE,110000,10531,158090
2024,NE,28900,13574,98401
2024,GE,165300,11091,199284
2019,NE,30400,15162,79611
2022,NE,28600,13652,85151
2021,NE,23500,12631,79903
2013,NE,0,12439,67726
2024,NE,26700,13574,98401
2015,NE,30600,13557,68116
2013,SO,0,45640,158879
2017,NE,30200,14410,74460
2022,SO,57200,46541,195547
2022,NE,26700,13652,85151
2014,BE,0,197510,731348
2015,SO,73200,48250,158648
2016,BE,42800,204325,753175
2016,SO,73600,50236,162598
2019,BE,45200,209602,836766
2017,SO,74700,51548,172638
2020,BE,30500,184258,837317
2021,SO,51300,44321,190603
2024,BE,40400,172150,985670
2022,SO,62900,46541,195547
2018,BE,45000,208478,805307
2014,SO,0,47203,158674
2020,BE,27600,184258,837317
2015,SO,64900,48250,158648
2022,BE,33400,176788,891120
2016,SO,65100,50236,162598
2016,ZH,59700,135991,819697
2019,SO,68100,54083,183415
2022,ZH,57400,121981,1018686
2021,SO,46400,44321,190603
2024,ZH,69700,120436,1110621
2013,BE,0,193183,728216
2013,ZH,0,134037,808896
2015,BE,43200,199251,731871
2022,ZH,21900,121981,1018686
2017,BE,42400,207170,789556
2020,ZH,15500,126787,936077
2015,BE,39800,199251,731871
2013,ZH,0,134037,808896
2016,BE,39400,204325,753175
2015,ZH,39000,134166,801535
2021,BE,28000,171452,861455
2018,ZH,49400,142157,887154
2015,ZH,56700,134166,801535
2021,ZH,32900,117271,981018
2018,ZH,61600,142157,887154
2024,ZH,50700,120436,1110621
2019,ZH,0,145026,927802
2021,ZH,28700,117271,981018
2014,ZH,0,135001,810452
2016,ZH,95000,135991,819697
2019,ZH,0,145026,927802
2013,ZH,0,134037,808896
2024,ZH,59500,120436,1110621
2016,ZH,84000,135991,819697
2020,ZH,18100,126787,936077
2022,ZH,73300,121981,1018686
2021,ZH,17400,117271,981018
2016,TI,0,6438,74074
2013,ZH,0,134037,808896
2024,TI,16100,8914,138295
2017,ZH,19800,137614,863740
2013,TI,0,5878,72730
2021,ZH,15000,117271,981018
2024,TI,34100,8914,138295
2017,ZH,0,137614,863740
2019,TI,24100,8095,94365
2013,ZH,0,134037,808896
2014,ZH,0,135001,810452
2014,ZH,0,135001,810452
2015,ZH,0,134166,801535
2018,ZH,42600,142157,887154
2016,ZH,0,135991,819697
2015,ZH,92000,134166,801535
2018,ZH,99800,142157,887154
2018,ZH,99100,142157,887154
2020,ZH,75700,126787,936077
2024,ZH,75500,120436,1110621
2024,ZH,103300,120436,1110621
2013,TI,0,5878,72730
2017,ZH,0,137614,863740
2017,TI,14600,7095,82758
2020,ZH,20600,126787,936077
2018,TI,14600,7560,88274
2013,GE,0,10920,126858
2019,TI,15400,8095,94365
2024,GE,14500,11091,199284
2020,TI,11800,7528,92962
2018,GE,0,12125,141734
2021,TI,12600,7685,99371
2014,ZH,437000,135001,810452
2021,TI,11700,7685,99371
2019,ZH,460700,145026,927802
2024,TI,15200,8914,138295
2020,ZH,294600,126787,936077
2014,TI,0,6096,72438
2021,ZH,286400,117271,981018
2019,TI,26300,8095,94365
2014,ZH,0,135001,810452
2015,TI,0,6151,71740
2017,ZH,410700,137614,863740
2017,TI,22100,7095,82758
2021,ZH,277500,117271,981018
2020,TI,15500,7528,92962
2022,ZH,359400,121981,1018686
2019,ZH,117400,145026,927802
2021,ZH,77100,117271,981018
2023,ZH,103800,126706,1064242
2018,ZH,0,142157,887154
2021,ZH,22500,117271,981018
2014,ZH,0,135001,810452
2015,ZH,0,134166,801535
2023,ZH,25900,126706,1064242
2013,GE,0,10920,126858
2014,GE,0,11453,126376
2017,GE,0,11935,137868
2021,GE,6800,10531,158090
2023,GE,12000,11985,183877
2018,ZH,442900,142157,887154
2016,ZH,411400,135991,819697
2018,ZH,418000,142157,887154
2020,ZH,276000,126787,936077
2024,ZH,394500,120436,1110621
2013,BE,306000,193183,728216
2014,BE,305000,197510,731348
2017,BE,323600,207170,789556
2018,BE,326300,208478,805307
2014,BE,0,197510,731348
2021,BE,216000,171452,861455
2015,BS,134500,13421,75588
2016,BS,135400,13528,76833
2020,BS,92400,11481,83878
2022,BS,124000,11399,91138
2023,BS,140400,11747,95164
2024,BS,140900,11092,99304
2020,BS,86100,11481,83878
2021,BS,91700,10701,87796
2014,VD,0,52623,307758
2015,VD,130800,53508,308384
2020,VD,88700,49631,366723
2023,VD,115800,54228,430786
2016,LU,163200,59338,319525
2023,LU,144100,55803,421104
2015,LU,158700,57913,311831
2016,SG,77300,53557,300559
2018,SG,0,55711,323691
2020,SG,54200,51089,339967
2021,SG,54100,48005,350821
2015,SG,73300,51115,291449
2018,SG,0,55711,323691
2021,SG,50600,48005,350821
2014,ZH,115000,135001,810452
2014,ZH,0,135001,810452
2022,ZH,111600,121981,1018686
2014,ZG,0,24995,151840
2019,AG,76000,84368,316747
2024,AG,78600,72996,391354
2016,AG,64200,73894,281284
2017,AG,64400,77434,297051
2018,AG,63900,81018,303575
2019,AG,68300,84368,316747
2016,AG,62700,73894,281284
2020,AG,42100,74529,319370
2023,AG,55400,75882,368686
2015,BE,63400,199251,731871
2016,BE,62700,204325,753175
2013,GR,0,12880,86745
2021,GR,31400,12000,101851
2024,GR,40300,12020,119423
2023,GR,37600,12731,113111
2017,FR,30900,41579,171943
2022,FR,27700,39669,208231
2024,FR,29500,39974,249470
2015,GE,40600,11734,122811
2024,GE,43000,11091,199284
2016,GE,43200,12030,128390
2020,GE,111700,10072,149591
2017,GE,155500,11935,137868
2020,NE,23600,13085,78046
2023,NE,29300,14094,91226
2014,NE,0,12847,67933
2014,SO,0,47203,158674
2020,SO,52400,47268,183467
2024,SO,69600,46157,216905
2020,SO,46700,47268,183467
2023,SO,62400,48001,204691
2013,BE,0,193183,728216
2014,BE,0,197510,731348
2017,BE,38900,207170,789556
2023,BE,37500,181069,933787
2024,BE,37500,172150,985670
2014,ZH,0,135001,810452
2022,ZH,49300,121981,1018686
2023,ZH,57600,126706,1064242
2017,ZH,23000,137614,863740
2024,ZH,24400,120436,1110621
2014,ZH,0,135001,810452
2024,ZH,21200,120436,1110621
2020,ZH,34300,126787,936077
2023,ZH,50000,126706,1064242
2020,ZH,29100,126787,936077
2024,ZH,44400,120436,1110621
2013,ZH,0,134037,808896
2014,ZH,0,135001,810452
2022,ZH,81100,121981,1018686
2023,ZH,86800,126706,1064242
2014,ZH,0,135001,810452
2015,ZH,81000,134166,801535
2018,ZH,88200,142157,887154
2023,ZH,78900,126706,1064242
2014,TI,0,6096,72438
2014,TI,0,6096,72438
2015,TI,0,6151,71740
2016,TI,0,6438,74074
2018,TI,13700,7560,88274
2020,TI,11000,7528,92962
2013,TI,0,5878,72730
2015,TI,0,6151,71740
2016,TI,0,6438,74074
2017,TI,24200,7095,82758
2021,TI,21700,7685,99371
2023,TI,30000,9311,125292
2013,TI,0,5878,72730
2014,TI,0,6096,72438
2022,TI,25600,8916,112062
2023,ZH,113900,126706,1064242
2014,ZH,0,135001,810452
2017,ZH,94200,137614,863740
2019,ZH,105400,145026,927802
2019,ZH,28000,145026,927802
2013,ZH,0,134037,808896
2018,ZH,0,142157,887154
2021,ZH,20900,117271,981018
2016,GE,0,12030,128390
2022,GE,11200,11101,170035
2023,GE,13400,11985,183877
2015,GE,0,11734,122811
2013,ZH,429000,134037,808896
2022,ZH,367400,121981,1018686
2013,ZH,0,134037,808896
2015,BE,313000,199251,731871
2024,BE,298900,172150,985670
2017,BE,299100,207170,789556
2019,BE,307000,209602,836766
2018,BS,134000,13664,81777
2019,BS,136200,13703,84306
2013,BS,0,13350,77654
2014,BS,0,13506,76875
2022,BS,119800,11399,91138
2023,BS,134900,11747,95164
2013,VD,139000,52016,303754
2015,VD,142600,53508,308384
2021,VD,102700,47365,375618
2023,VD,125600,54228,430786
2013,VD,0,52016,303754
2016,VD,136000,55204,322047
2019,VD,140100,56614,369542
2013,LU,160000,55328,311740
2020,LU,104700,55020,364427
2021,LU,102500,51025,381747
2024,LU,145400,52694,447670
2014,LU,0,56859,314004
2013,SG,79000,46911,289862
2017,SG,0,54352,316420
2019,SG,81800,56816,340010
2022,SG,69100,49943,367369
2016,SG,71800,53557,300559
2022,SG,65100,49943,367369
2024,SG,72300,47897,414105
2023,ZH,131100,126706,1064242
2020,ZH,82300,126787,936077
2021,ZH,86200,117271,981018
2013,ZG,62000,24498,150809
2017,ZG,66400,27991,166431
2018,ZG,66400,29320,173522
2019,ZG,67700,30281,182731
2022,ZG,55600,25264,197010
2013,ZG,0,24498,150809
2015,ZG,57900,25596,151072
2020,ZG,44200,26071,181337
2021,ZG,43400,24060,187039
2021,AG,58000,68874,334662
2015,AG,63100,70149,275678
2015,AG,62700,70149,275678
2019,AG,60300,84368,316747
2022,AG,52500,72544,347417
2024,AG,55400,72996,391354
2014,AG,0,67469,279065
2016,AG,57200,73894,281284
2013,BE,0,193183,728216
2014,BE,0,197510,731348
2016,BE,67300,204325,753175
2019,BE,69400,209602,836766
2020,BE,53000,184258,837317
2017,BE,62300,207170,789556
2021,BE,51600,171452,861455
2019,GR,37500,13870,99802
2014,FR,0,37310,153244
2019,FR,32200,44383,186628
2023,FR,32800,42058,227084
2024,FR,31500,39974,249470
2018,FR,27900,42669,175843
2013,GE,0,10920,126858
2014,GE,0,11453,126376
2016,GE,41800,12030,128390
2018,GE,44400,12125,141734
2019,GE,45900,12325,149615
2023,GE,41100,11985,183877
2017,GE,45200,11935,137868
2018,GE,45300,12125,141734
2024,GE,44100,11091,199284
2015,GE,150700,11734,122811
2018,GE,171400,12125,141734
2021,GE,115600,10531,158090
2023,GE,171000,11985,183877
2015,NE,33400,13557,68116
2016,NE,33200,14116,70460
2018,NE,32600,14601,76096
2019,NE,33000,15162,79611
2016,NE,30400,14116,70460
2018,NE,30000,14601,76096
2023,NE,27100,14094,91226
2019,SO,76600,54083,183415
2013,SO,0,45640,158879
2018,SO,67800,52713,176704
2022,BE,35900,176788,891120
2019,BE,41700,209602,836766
2013,ZH,0,134037,808896
2017,ZH,64100,137614,863740
2015,ZH,46900,134166,801535
2017,ZH,52800,137614,863740
2021,ZH,36900,117271,981018
2014,ZH,0,135001,810452
2023,ZH,24900,126706,1064242
2019,ZH,21900,145026,927802
2023,ZH,22000,126706,1064242
2014,ZH,0,135001,810452
2016,ZH,48400,135991,819697
2022,ZH,44100,121981,1018686
2016,ZH,42000,135991,819697
2023,ZH,43700,126706,1064242
2017,ZH,100000,137614,863740
2024,ZH,84500,120436,1110621
2019,ZH,89200,145026,927802
2020,ZH,59600,126787,936077
2015,TI,0,6151,71740
2022,TI,14400,8916,112062
2023,TI,15700,9311,125292
2019,TI,14500,8095,94365
2023,TI,14900,9311,125292
2020,TI,17000,7528,92962
2016,TI,0,6438,74074
2021,TI,20100,7685,99371
2024,TI,31700,8914,138295
2013,ZH,0,134037,808896
2017,ZH,106000,137614,863740
2018,ZH,111700,142157,887154
2020,ZH,84200,126787,936077
2021,ZH,84500,117271,981018
2024,ZH,113800,120436,1110621
2013,ZH,0,134037,808896
2022,ZH,95200,121981,1018686
2013,ZH,0,134037,808896
2014,ZH,0,135001,810452
2015,ZH,0,134166,801535
2016,ZH,0,135991,819697
2017,ZH,0,137614,863740
2022,ZH,25500,121981,1018686
2024,ZH,27900,120436,1110621
2022,ZH,24000,121981,1018686
2024,ZH,26200,120436,1110621
2014,GE,0,11453,126376
2017,GE,0,11935,137868
2019,GE,0,12325,149615
2020,GE,0,10072,149591
2021,GE,7600,10531,158090
2020,GE,0,10072,149591
2024,GE,13100,11091,199284
2015,ZH,437300,134166,801535
2023,ZH,399000,126706,1064242
2024,ZH,405200,120436,1110621
2015,ZH,410200,134166,801535
2019,ZH,436300,145026,927802
